time;V(U_a);V(U_e);
8.56491e-05;0.0306972;12;
8.66491e-05;0.0124684;12;
8.76491e-05;0.030695;12;
8.86491e-05;0.0124695;12;
8.96491e-05;0.0306928;12;
9.06491e-05;0.0124707;12;
9.16491e-05;0.0306906;12;
9.26491e-05;0.0124718;12;
9.36491e-05;0.0306884;12;
9.46491e-05;0.012473;12;
9.56491e-05;0.0306862;12;
9.66491e-05;0.0124741;12;
9.76491e-05;0.030684;12;
9.86491e-05;0.0124753;12;
9.96491e-05;0.0306818;12;
0.000100649;0.0124764;12;
0.000101649;0.0306796;12;
0.000102649;0.0124776;12;
0.000103649;0.0306774;12;
0.000104649;0.0124787;12;
0.000105649;0.0306752;12;
0.000106649;0.0124799;12;
0.000107649;0.030673;12;
0.000108649;0.012481;12;
0.000109649;0.0306708;12;
0.000110649;0.0124822;12;
0.000111649;0.0306686;12;
0.000112649;0.0124833;12;
0.000113649;0.0306664;12;
0.000114649;0.0124845;12;
0.000115649;0.0306642;12;
0.000116649;0.0124856;12;
0.000117649;0.0306621;12;
0.000118649;0.0124868;12;
0.000119649;0.0306599;12;
0.000120649;0.0124879;12;
0.000121649;0.0306577;12;
0.000122649;0.012489;12;
0.000123649;0.0306555;12;
0.000124649;0.0124902;12;
0.000125649;0.0306533;12;
0.000126649;0.0124913;12;
0.000127649;0.0306511;12;
0.000128649;0.0124925;12;
0.000129649;0.030649;12;
0.000130649;0.0124936;12;
0.000131649;0.0306468;12;
0.000132649;0.0124947;12;
0.000133649;0.0306446;12;
0.000134649;0.0124959;12;
0.000135649;0.0306424;12;
0.000136649;0.012497;12;
0.000137649;0.0306403;12;
0.000138649;0.0124981;12;
0.000139649;0.0306381;12;
0.000140649;0.0124993;12;
0.000141649;0.0306359;12;
0.000142649;0.0125004;12;
0.000143649;0.0306337;12;
0.000144649;0.0125016;12;
0.000145004;0.0306143;12;
0.000145004;0.0212482;10.8;
0.000145005;0.0196484;8.4;
0.000145005;0.0209076;6.20157;
0.000145005;0.0199567;4.19589;
0.000145006;0.0207379;2.11977;
0.000145006;0.0201716;0.301617;
0.000145006;0.0204935;0;
0.000145006;0.020459;0;
0.000145006;0.0204339;0;
0.000145006;0.0204526;0;
0.000145006;0.0204728;0;
0.000145006;0.0204999;0;
0.000145007;0.0205245;0;
0.000145007;0.0205456;0;
0.000145007;0.0205518;0;
0.000145007;0.0205467;0;
0.000145008;0.0205281;0;
0.000145008;0.0205042;0;
0.000145008;0.0204818;0;
0.000145008;0.0204586;0;
0.000145009;0.0204284;0;
0.000145009;0.0203988;0;
0.000145009;0.0203599;0;
0.00014501;0.0203313;0;
0.000145011;0.0203033;0;
0.000145012;0.0202993;0;
0.000145015;0.0203103;0;
0.000145019;0.0203216;0;
0.000145024;0.0203271;0;
0.000145033;0.0203281;0;
0.000145043;0.0203178;0;
0.000145052;2.71932;0;
0.000145057;6.89181;0;
0.000145063;9.32732;0;
0.000145065;9.80287;0;
0.000145066;9.9868;0;
0.000145067;10.1944;0;
0.000145068;10.3342;0;
0.000145069;10.466;0;
0.000145071;10.6178;0;
0.000145073;10.7841;0;
0.000145075;10.939;0;
0.000145079;11.098;0;
0.000145083;11.2231;0;
0.00014509;11.3086;0;
0.000145098;11.3607;0;
0.000145107;11.3847;0;
0.000145117;11.3984;0;
0.00014513;11.4074;0;
0.000145152;11.4184;0;
0.00014518;11.4272;0;
0.000145237;11.4396;0;
0.000145351;11.454;0;
0.000145578;11.4706;0;
0.000146033;11.4875;0;
0.000146941;11.5054;0;
0.000147941;11.5159;0;
0.000148941;11.5237;0;
0.000149941;11.5292;0;
0.000150002;11.5298;0;
0.000150002;11.5297;1.2;
0.000150003;11.5296;3.6;
0.000150003;11.5296;5.76358;
0.000150003;11.5296;7.69738;
0.000150004;11.5296;9.5574;
0.000150004;11.5296;12;
0.000150004;11.5296;12;
0.000150004;11.5296;12;
0.000150004;11.5296;12;
0.000150005;11.5296;12;
0.000150005;11.5297;12;
0.000150005;11.5297;12;
0.000150005;11.5297;12;
0.000150006;11.5297;12;
0.000150006;11.5297;12;
0.000150007;11.5297;12;
0.000150008;11.5297;12;
0.00015001;11.5297;12;
0.000150012;11.5297;12;
0.000150015;11.5297;12;
0.000150021;11.5297;12;
0.000150029;11.5298;12;
0.000150036;11.5298;12;
0.000150043;11.5299;12;
0.000150051;11.5299;12;
0.000150063;11.53;12;
0.000150082;11.5301;12;
0.000150108;11.5302;12;
0.000150146;11.5304;12;
0.000150201;11.5306;12;
0.000150281;11.531;12;
0.000150413;11.5317;12;
0.000150655;11.5328;12;
0.000151138;11.5349;12;
0.000151437;11.5361;12;
0.000151751;11.5373;12;
0.00015193;11.538;12;
0.000152071;11.5385;12;
0.00015221;11.539;12;
0.000152434;11.5398;12;
0.000152642;11.5405;12;
0.000152921;11.5414;12;
0.000153278;11.5425;12;
0.000153735;11.5439;12;
0.000154402;11.5458;12;
0.000155402;11.5484;12;
0.000156402;11.5508;12;
0.000157402;11.5529;12;
0.000158402;11.5549;12;
0.000159402;11.5568;12;
0.000160402;11.5585;12;
0.000161402;11.5601;12;
0.000162402;11.5616;12;
0.000163402;11.5631;12;
0.000164402;11.5644;12;
0.000165402;11.5657;12;
0.000166402;11.567;12;
0.000167402;11.5681;12;
0.000168402;11.5693;12;
0.000169402;11.5703;12;
0.000170402;11.5714;12;
0.000171402;11.5724;12;
0.000172402;11.5733;12;
0.000173402;11.5742;12;
0.000174402;11.5751;12;
0.000175402;11.576;12;
0.000176402;11.5768;12;
0.000177402;11.5776;12;
0.000178402;11.5784;12;
0.000179402;11.5792;12;
0.000180402;11.5799;12;
0.000181402;11.5806;12;
0.000182402;11.5813;12;
0.000183402;11.582;12;
0.000184402;11.5826;12;
0.000185402;11.5833;12;
0.000186402;11.5839;12;
0.000187402;11.5845;12;
0.000188402;11.5851;12;
0.000189402;11.5857;12;
0.000190402;11.5863;12;
0.000191402;11.5868;12;
0.000192402;11.5874;12;
0.000193402;11.5879;12;
0.000194402;11.5884;12;
0.000195402;11.589;12;
0.000196402;11.5895;12;
0.000197402;11.59;12;
0.000198402;11.5904;12;
0.000199402;11.5909;12;
0.000200402;11.5914;12;
0.000201363;11.5918;12;
0.000202276;11.5922;12;
0.000203172;11.5926;12;
0.00020403;11.593;12;
0.000204867;11.5934;12;
0.000205678;11.5937;12;
0.000206518;11.594;12;
0.000207444;11.5944;12;
0.000208444;11.5948;12;
0.000209444;11.5952;12;
0.000210444;11.5956;12;
0.000211444;11.596;12;
0.000212444;11.5964;12;
0.000213444;11.5968;12;
0.000214444;11.5971;12;
0.000215444;11.5975;12;
0.000216444;11.5979;12;
0.000217444;11.5982;12;
0.000218444;11.5986;12;
0.000219444;11.5989;12;
0.000220444;11.5993;12;
0.000221444;11.5996;12;
0.000222444;11.5999;12;
0.000223444;11.6002;12;
0.000224444;0.0205586;12;
0.000225123;0.0201949;12;
0.000225754;0.0205603;12;
0.00022641;0.0201939;12;
0.000227241;0.0205605;12;
0.000228241;0.0201934;12;
0.000229241;0.0205613;12;
0.000230241;0.0201927;12;
0.000231241;0.0205619;12;
0.000232241;0.0201921;12;
0.000233241;0.0205615;12;
0.000234241;0.0201332;12;
0.000235145;0.0204981;12;
0.000235435;0.0201497;12;
0.000235852;0.0205115;12;
0.000236326;0.0201506;12;
0.000236898;0.0205121;12;
0.000237898;0.0201498;12;
0.000238898;0.0205127;12;
0.000239898;0.0201492;12;
0.000240898;0.0205133;12;
0.000241898;0.0201486;12;
0.000242898;0.0205138;12;
0.000243898;0.020148;12;
0.000244898;0.0205143;12;
0.000245898;0.0201475;12;
0.000246898;0.0205149;12;
0.000247898;0.0201469;12;
0.000248898;0.0205154;12;
0.000249898;0.0201463;12;
0.000250898;0.0205159;12;
0.000251898;0.0201457;12;
0.000252898;0.0205165;12;
0.000253898;0.0201451;12;
0.000254898;0.020517;12;
0.000255898;0.0201446;12;
0.000256898;0.0205175;12;
0.000257898;0.020144;12;
0.000258898;0.0205181;12;
0.000259898;0.0201434;12;
0.000260898;0.0205186;12;
0.000261898;0.0201428;12;
0.000262898;0.0205191;12;
0.000263898;0.0201423;12;
0.000264898;0.0205197;12;
0.000265898;0.0201417;12;
0.000266898;0.0205202;12;
0.000267898;0.0201411;12;
0.000268898;0.0205207;12;
0.000269898;0.0201406;12;
0.000270898;0.0205212;12;
0.000271898;0.02014;12;
0.000272898;0.0205217;12;
0.000273898;0.0201394;12;
0.000274898;0.0205223;12;
0.000275898;0.0201389;12;
0.000276898;0.0205228;12;
0.000277898;0.0201383;12;
0.000278898;0.0205233;12;
0.000279898;0.0201377;12;
0.000280898;0.0205238;12;
0.000281898;0.0201372;12;
0.000282898;0.0205243;12;
0.000283898;0.0201366;12;
0.000284898;0.0205248;12;
0.000285898;0.020136;12;
0.000286898;0.0205253;12;
0.000287898;0.0201355;12;
0.000288898;0.0205259;12;
0.000289898;0.0201349;12;
0.000290898;0.0205264;12;
0.000291898;0.0201344;12;
0.000292898;0.0205269;12;
0.000293898;0.0201338;12;
0.000294898;0.0205274;12;
0.000295004;0.020131;12;
0.000295004;0.0203575;10.8;
0.000295005;0.0204032;8.4;
0.000295005;0.0203718;6.20394;
0.000295005;0.0204076;4.20008;
0.000295006;0.0204094;2.12755;
0.000295006;0.0204452;0.312332;
0.000295006;0.0204425;0;
0.000295006;0.0204448;0;
0.000295006;0.0204489;0;
0.000295006;0.0204581;0;
0.000295006;0.0204808;0;
0.000295006;0.0205041;0;
0.000295007;0.0205294;0;
0.000295007;0.0205479;0;
0.000295007;0.0205545;0;
0.000295007;0.0205478;0;
0.000295008;0.0205297;0;
0.000295008;0.020505;0;
0.000295008;0.0204831;0;
0.000295008;0.0204594;0;
0.000295009;0.0204293;0;
0.000295009;0.0203991;0;
0.000295009;0.02036;0;
0.00029501;0.020331;0;
0.000295011;0.0203032;0;
0.000295012;0.0202992;0;
0.000295015;0.0203107;0;
0.000295019;0.0203216;0;
0.000295025;0.0203273;0;
0.000295034;0.0203279;0;
0.000295035;0.0203278;0;
0.000295037;0.0203272;0;
0.000295041;0.0203224;0;
0.000295045;0.020328;0;
0.000295048;0.679309;0;
0.00029505;2.71369;0;
0.000295051;3.92351;0;
0.000295052;4.69593;0;
0.000295053;5.20506;0;
0.000295054;5.70974;0;
0.000295054;6.2188;0;
0.000295055;6.73787;0;
0.000295056;7.30571;0;
0.000295058;7.84742;0;
0.000295059;8.4775;0;
0.000295061;9.11974;0;
0.000295064;9.7868;0;
0.000295067;10.4252;0;
0.000295072;10.8859;0;
0.000295078;11.1335;0;
0.000295083;11.247;0;
0.000295087;11.3011;0;
0.000295092;11.3381;0;
0.000295098;11.3649;0;
0.000295104;11.3815;0;
0.000295111;11.392;0;
0.000295123;11.4037;0;
0.000295133;11.4095;0;
0.000295155;11.4197;0;
0.00029518;11.4268;0;
0.000295231;11.4387;0;
0.000295332;11.4519;0;
0.000295529;11.4679;0;
0.000295923;11.484;0;
0.00029671;11.502;0;
0.00029771;11.5135;0;
0.00029871;11.5223;0;
0.00029971;11.5277;0;
0.000300002;11.53;0;
0.000300002;11.5297;1.2;
0.000300003;11.5295;3.6;
0.000300003;11.5295;5.76303;
0.000300003;11.5295;7.69615;
0.000300004;11.5295;9.55621;
0.000300004;11.5295;12;
0.000300004;11.5295;12;
0.000300004;11.5295;12;
0.000300004;11.5295;12;
0.000300005;11.5295;12;
0.000300005;11.5296;12;
0.000300005;11.5296;12;
0.000300005;11.5296;12;
0.000300006;11.5296;12;
0.000300006;11.5296;12;
0.000300007;11.5296;12;
0.000300008;11.5296;12;
0.00030001;11.5296;12;
0.000300012;11.5296;12;
0.000300015;11.5296;12;
0.000300021;11.5297;12;
0.000300029;11.5297;12;
0.000300036;11.5298;12;
0.000300043;11.5298;12;
0.000300051;11.5298;12;
0.000300063;11.5299;12;
0.000300082;11.53;12;
0.000300108;11.5301;12;
0.000300146;11.5303;12;
0.000300201;11.5306;12;
0.000300281;11.531;12;
0.000300413;11.5316;12;
0.000300655;11.5327;12;
0.000301138;11.5348;12;
0.000301437;11.536;12;
0.000301751;11.5373;12;
0.00030193;11.5379;12;
0.000302072;11.5385;12;
0.000302211;11.5389;12;
0.000302437;11.5397;12;
0.000302646;11.5405;12;
0.000302928;11.5414;12;
0.000303292;11.5425;12;
0.00030376;11.5439;12;
0.000304448;11.5459;12;
0.000305448;11.5485;12;
0.000306448;11.5508;12;
0.000307448;11.553;12;
0.000308448;11.555;12;
0.000309448;11.5568;12;
0.000310448;11.5585;12;
0.000311448;11.5602;12;
0.000312448;11.5617;12;
0.000313448;11.5631;12;
0.000314448;11.5645;12;
0.000315448;11.5658;12;
0.000316448;11.567;12;
0.000317448;11.5682;12;
0.000318448;11.5693;12;
0.000319448;11.5704;12;
0.000320448;11.5714;12;
0.000321448;11.5724;12;
0.000322448;11.5733;12;
0.000323448;11.5743;12;
0.000324448;11.5752;12;
0.000325448;11.576;12;
0.000326448;11.5768;12;
0.000327448;11.5776;12;
