time;V(U_a);V(U_e);
0.001;11.5481;5.76311;
0.001;11.5481;7.69533;
0.001;11.5481;9.55331;
0.001;11.5481;12;
0.001;11.5481;12;
0.001;11.5481;12;
0.001;11.5481;12;
0.001;11.5481;12;
0.001;11.5481;12;
0.00100001;11.5482;12;
0.00100001;11.5482;12;
0.00100001;11.5482;12;
0.00100001;11.5482;12;
0.00100001;11.5482;12;
0.00100001;11.5482;12;
0.00100001;11.5482;12;
0.00100001;11.5482;12;
0.00100001;11.5482;12;
0.00100002;11.5482;12;
0.00100003;11.5482;12;
0.00100004;11.5482;12;
0.00100004;11.5482;12;
0.00100005;11.5483;12;
0.00100006;11.5483;12;
0.00100008;11.5483;12;
0.0010001;11.5484;12;
0.00100014;11.5485;12;
0.00100019;11.5486;12;
0.00100026;11.5488;12;
0.00100037;11.5491;12;
0.00100057;11.5495;12;
0.00100096;11.5504;12;
0.00100134;11.5513;12;
0.00100173;11.5521;12;
0.00100196;11.5526;12;
0.00100212;11.553;12;
0.00100222;11.5532;12;
0.0010023;11.5533;12;
0.00100236;11.5534;12;
0.00100243;11.5536;12;
0.0010025;11.5537;12;
0.00100259;11.5539;12;
0.00100274;11.5542;12;
0.00100301;11.5547;12;
0.00100357;11.5558;12;
0.00100469;11.5578;12;
0.00100691;11.5614;12;
0.00101137;11.5673;12;
0.00102028;11.5763;12;
0.0010381;11.5884;12;
0.00107375;11.6029;12;
0.00109651;11.6088;12;
0.00111161;0.0203777;12;
0.00111952;0.0209373;12;
0.00112307;0.0204295;12;
0.00112501;0.0203011;12;
0.0011271;0.0203368;12;
0.00112942;0.0203102;12;
0.0011305;0.0203366;12;
0.00113194;0.0203103;12;
0.00113482;0.0203366;12;
0.00114059;0.0203103;12;
0.00115212;0.0203366;12;
0.00117519;0.0203103;12;
0.00122132;0.0203366;12;
0.00131359;0.0203103;12;
0.00141359;0.0203366;12;
0.00151359;0.0203103;12;
0.00161359;0.0203366;12;
0.00171359;0.0203103;12;
0.00181359;0.0203366;12;
0.00191359;0.0203103;12;
0.00199;0.0203366;12;
0.00199;0.020323;10.8;
0.00199;0.0203264;8.4;
0.00199;0.0203427;6.11505;
0.00199001;0.0203649;3.92614;
0.00199001;0.0203992;1.62743;
0.00199001;0.0204266;0;
0.00199001;0.0204309;0;
0.00199001;0.0204401;0;
0.00199001;0.0204617;0;
0.00199001;0.0204899;0;
0.00199001;0.0205179;0;
0.00199001;0.0205372;0;
0.00199001;0.0205444;0;
0.00199001;0.020538;0;
0.00199001;0.0205209;0;
0.00199001;0.0204959;0;
0.00199001;0.0204726;0;
0.00199001;0.0204507;0;
0.00199001;0.0204294;0;
0.00199001;0.0204051;0;
0.00199001;0.0203728;0;
0.00199001;0.0203445;0;
0.00199001;0.0203076;0;
0.00199001;0.0202925;0;
0.00199001;0.0202892;0;
0.00199002;0.0203056;0;
0.00199002;0.0203153;0;
0.00199002;0.0203226;0;
0.00199003;0.0203236;0;
0.00199003;0.0203235;0;
0.00199004;0.0203231;0;
0.00199004;0.020319;0;
0.00199004;0.0203229;0;
0.00199005;0.97228;0;
0.00199005;3.30304;0;
0.00199005;4.54645;0;
0.00199005;5.36359;0;
0.00199005;5.83426;0;
0.00199006;6.33448;0;
0.00199006;6.9195;0;
0.00199006;7.39826;0;
0.00199006;8.02814;0;
0.00199006;8.64051;0;
0.00199006;9.29395;0;
0.00199007;9.96443;0;
0.00199007;10.5826;0;
0.00199007;10.938;0;
0.00199008;11.1231;0;
0.00199008;11.236;0;
0.00199009;11.3046;0;
0.00199009;11.3426;0;
0.0019901;11.3711;0;
0.00199011;11.3877;0;
0.00199012;11.4031;0;
0.00199014;11.4111;0;
0.00199017;11.4234;0;
0.0019902;11.433;0;
0.00199028;11.447;0;
0.00199044;11.4618;0;
0.00199074;11.4782;0;
0.00199133;11.4944;0;
0.00199232;11.5102;0;
0.00199426;11.5257;0;
0.00199784;11.5425;0;
0.002;11.5479;0;
0.002;11.5481;1.2;
0.002;11.5482;3.6;
0.002;11.5481;5.76652;
0.002;11.5481;7.70022;
0.002;11.5481;9.55725;
0.002;11.5481;12;
0.002;11.5481;12;
