#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA2AFF
#Date Time: 2023-12-05 18:47:50.710
#Sample rate: 2090Hz
#Samples: 8000
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 2 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-2.862205358851675,-0.5037319624577885,0.6896514710936562
-2.861726888851675,-0.5037319624577885,0.8794542646275556
-2.861248418851675,-0.5074461841480207,1.069257058161455
-2.860769948851675,0.04225862600634456,-6.39631948750178
-2.860291478851675,0.02740173924566576,-6.396319487505175
-2.859813008851675,0.008830630794497956,-6.388876240699927
-2.859334538851675,-0.006026255966439324,-6.373989747089429
-2.858856068851675,-0.01716892103714271,-6.355381630076304
-2.858377598851675,-0.03574002948830882,-6.333051889660552
-2.857899128851675,-0.0468826945590139,-6.303278902439551
-2.857420658851675,-0.0617395813199478,-6.269784291815924
-2.856942188851675,-0.07659646808089016,-6.225124810984402
-2.856463718851675,-0.09145335484182575,-6.176743706750272
-2.855985248851675,-0.1063102416027613,-6.124640979113515
-2.855506778851675,-0.1211671283636969,-6.065095004671507
-2.855028308851675,-0.1360240151246325,-5.998105783424248
-2.854549838851675,-0.1471666801953342,-5.927394938774364
-2.854071368851675,-0.1620235669562698,-5.849240847319229
-2.853592898851675,-0.1768804537172054,-5.767365132461468
-2.853114428851675,-0.1880231187879071,-5.678046170798456
-2.852635958851675,-0.2028800055488427,-5.581283962330194
-2.852157488851675,-0.2177368923097783,-5.480800130459306
-2.851679018851675,-0.22887955738048,-5.376594675185792
-2.851200548851675,-0.2437364441414156,-5.268667596509654
-2.850722078851675,-0.2548791092121173,-5.153297271028264
-2.850243608851675,-0.266021774282819,-5.034205322144248
-2.849765138851675,-0.2771644393535206,-4.907670126454982
-2.849286668851675,-0.2920213261144562,-4.77741330736309
-2.848808198851675,-0.303163991185158,-4.643434864868572
-2.848329728851675,-0.3143066562558596,-4.502013175568805
-2.847851258851675,-0.3254493213265613,-4.360591486269036
-2.847372788851675,-0.3365919863972631,-4.211726550164017
-2.846894318851675,-0.3477346514679647,-4.059139990656372
-2.846415848851675,-0.3588773165386664,-3.910275054551353
-2.845937378851675,-0.3700199816093681,-3.750245248238457
-2.845458908851675,-0.3811626466800698,-3.586493818522936
-2.844980438851675,-0.388591090060541,-3.422742388807337
-2.844501968851675,-0.3960195334410105,-3.251547712286567
-2.844023498851675,-0.4071621985117105,-3.084074659168416
-2.843545028851675,-0.41459064189218,-2.909158359245019
-2.843066558851675,-0.4257333069628783,-2.734242059321617
-2.842588088851675,-0.4294475286531155,-2.551882512592971
-2.842109618851675,-0.4405901937238156,-2.373244589266946
-2.841631148851675,-0.4480186371042816,-2.190885042538296
-2.841152678851675,-0.4517328587945173,-2.004803872407022
-2.840674208851675,-0.4591613021749851,-1.818722702275746
-2.840195738851675,-0.4665897455554529,-1.628919908741848
-2.839717268851675,-0.474018188935919,-1.442838738610571
-2.839238798851675,-0.4777324106261528,-1.249314321674047
-2.838760328851675,-0.4814466323163867,-1.059511528140146
-2.838281858851674,-0.4851608540066206,-0.8659871112036209
-2.837803388851674,-0.4888750756968546,-0.6724626942670976
-2.837324918851674,-0.4925892973870885,-0.4826599007331964
-2.836846448851674,-0.4963035190773223,-0.2891354837966713
-2.836367978851674,-0.5000177407675546,-0.09561106686014452
-2.835889508851674,-0.5000177407675562,0.1016349734790026
-2.835411038851674,-0.5037319624577885,0.2914377670129039
-2.834932568851674,-0.5037319624577885,0.4849621839494273
-2.834454098851674,-0.5037319624577902,0.6747649774833268
-2.833975628851674,-0.5074461841480207,0.8645677710172281
-2.833497158851674,-0.5037319624577885,1.05809218795375
-2.833018688851674,-0.5037319624577885,1.244173358085108
-2.832540218851675,-0.5037319624577885,1.430254528216213
-2.832061748851675,-0.5000177407675546,1.620057321750113
-2.831583278851675,-0.5000177407675546,1.802416868478762
-2.831104808851675,-0.4963035190773207,1.98477641520741
-2.830626338851675,-0.4963035190773207,2.167135961936059
-2.830147868851675,-0.4925892973870868,2.342052261859457
-2.829669398851675,-0.4888750756968529,2.516968561782854
-2.829190928851675,-0.485160854006619,2.688163238303626
-2.828712458851675,-0.4777324106261512,2.859357914824399
-2.828233988851675,-0.4740181889359173,3.026830967942545
-2.827755518851675,-0.4703039672456834,3.190582397658067
-2.827277048851675,-0.4628755238652156,3.354333827373588
-2.826798578851675,-0.4591613021749817,3.510642010283858
-2.826320108851675,-0.4517328587945139,3.663228569791502
-2.825841638851675,-0.4443044154140461,3.815815129299147
-2.825363168851675,-0.4368759720335783,3.964680065404166
-2.824884698851675,-0.4294475286531105,4.106101754703935
-2.824406228851675,-0.4220190852726427,4.247523444003703
-2.823927758851675,-0.4145906418921749,4.385223509900846
-2.823449288851675,-0.4034479768214732,4.519201952395363
-2.822970818851675,-0.3960195334410054,4.645737148084629
