#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA2AFF
#Date Time: 2023-12-05 19:03:53.208
#Sample rate: 4116.92Hz
#Samples: 7508
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 2 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-0.3500308962837018,-0.2038708829806656,-0.6836275644750603
-0.3497879962837017,-0.2704387728749458,-0.6315248368383036
-0.3495450962837018,-0.3312622255702272,-0.5608139921884194
-0.3493021962837017,-0.3843137926433339,-0.4714950305254079
-0.3490592962837017,-0.4285797498826776,-0.3784544454597708
-0.3488163962837018,-0.4630463730766704,-0.2742489901862574
-0.3485734962837017,-0.486362029943195,-0.1663219115101184
-0.3483305962837018,-0.498188812411722,-0.05467320943135391
-0.3480876962837017,-0.4988646285527806,0.06069711605003603
-0.3478447962837018,-0.4880515702958417,0.1723458181288005
-0.3476018962837018,-0.4657496376409052,0.2802728968049394
-0.3473589962837017,-0.4326346467290297,0.377035105273202
-0.3471160962837018,-0.389382413701274,0.470075690338839
-0.3468731962837017,-0.3376824789102847,0.5519514051965997
-0.3466302962837018,-0.277534842356062,0.6189406264438583
-0.3463873962837017,-0.211304860532311,0.6710433540806151
-0.3461444962837017,-0.1403441657211494,0.7082595881068698
-0.3459015962837018,-0.06634229827522359,0.7268677051199973
-0.3456586962837017,0.009349109523348893,0.7305893285226228
-0.3454157962837018,0.08504051732192137,0.7157028349121208
-0.3451728962837017,0.1583665686267885,0.685929847691117
-0.3449299962837017,0.2286514472968915,0.6375487434569858
-0.3446870962837018,0.2931918887679957,0.5742811456123526
-0.3444441962837017,0.3509741688285131,0.4961270541572174
-0.3442012962837018,0.4006466551963263,0.4068080924942059
-0.3439583962837017,0.4408577155893179,0.3100458840259433
-0.3437154962837018,0.4705936257958999,0.2058404287524298
-0.3434725962837017,0.4895164777455431,0.09419172667366536
-0.3432296962837017,0.4966125472266593,-0.02117859880772457
-0.3429867962837018,0.4925576503803071,-0.132827300886489
-0.3427438962837017,0.4770138791359574,-0.240754379562628
-0.3425009962837018,0.4506570496346688,-0.3449598348361415
-0.3422580962837017,0.4131492538059119,-0.4454436667070295
-0.3420151962837017,0.3661800320023334,-0.5347626283700411
-0.3417722962837018,0.3100872922944627,-0.6091950964225508
-0.3415293962837017,0.2475742992465346,-0.6687410708645585
-0.3412864962837018,0.1789789609290783,-0.7134005516960642
-0.3410435962837017,0.1059908176947405,-0.7431735389170681
-0.3408006962837018,0.0306373179666974,-0.7580600325275699
-0.3405577962837018,-0.04539199790240442,-0.7543384091249445
-0.3403148962837017,-0.1197317734188595,-0.7320086687091916
-0.3400719962837018,-0.1920441005121386,-0.6947924346829368
-0.3398290962837017,-0.2596257146180069,-0.64268970704618
-0.3395861962837018,-0.3214628915248764,-0.5719788623962959
