time;V(U_a)1;V(U_o)1;
0;5.32154e-05;-0.000106274;
1e-07;5.32154e-05;-0.000106274;
2e-07;5.32154e-05;-0.000106274;
4e-07;5.32154e-05;-0.000106274;
8e-07;5.32154e-05;-0.000106274;
1.6e-06;5.32154e-05;-0.000106274;
3.2e-06;5.32154e-05;-0.000106274;
6.4e-06;5.32154e-05;-0.000106274;
1.28e-05;5.32154e-05;-0.000106274;
2.28e-05;5.32154e-05;-0.000106274;
3.28e-05;5.32154e-05;-0.000106274;
4.28e-05;5.32154e-05;-0.000106274;
5.28e-05;5.32154e-05;-0.000106274;
6.28e-05;5.32154e-05;-0.000106274;
7.28e-05;5.32154e-05;-0.000106274;
8.28e-05;5.32154e-05;-0.000106274;
9.28e-05;5.32154e-05;-0.000106274;
0.0001028;5.32154e-05;-0.000106274;
0.0001128;5.32154e-05;-0.000106274;
0.0001228;5.32154e-05;-0.000106274;
0.0001328;5.32154e-05;-0.000106274;
0.0001428;5.32154e-05;-0.000106274;
0.0001528;5.32154e-05;-0.000106274;
0.0001628;5.32154e-05;-0.000106274;
0.0001728;5.32154e-05;-0.000106274;
0.0001828;5.32154e-05;-0.000106274;
0.0001928;5.32154e-05;-0.000106274;
0.0002028;5.32154e-05;-0.000106274;
0.0002128;5.32154e-05;-0.000106274;
0.0002228;5.32154e-05;-0.000106274;
0.0002328;5.32154e-05;-0.000106274;
0.0002428;5.32154e-05;-0.000106274;
0.0002528;5.32154e-05;-0.000106274;
0.0002628;5.32154e-05;-0.000106274;
0.0002728;5.32154e-05;-0.000106274;
0.0002828;5.32154e-05;-0.000106274;
0.0002928;5.32154e-05;-0.000106274;
0.0003028;5.32154e-05;-0.000106274;
0.0003128;5.32154e-05;-0.000106274;
0.0003228;5.32154e-05;-0.000106274;
0.0003328;5.32154e-05;-0.000106274;
0.0003428;5.32154e-05;-0.000106274;
0.0003528;5.32154e-05;-0.000106274;
0.0003628;5.32154e-05;-0.000106274;
0.0003728;5.32154e-05;-0.000106274;
0.0003828;5.32154e-05;-0.000106274;
0.0003928;5.32154e-05;-0.000106274;
0.0004028;5.32154e-05;-0.000106274;
0.0004128;5.32154e-05;-0.000106274;
0.0004228;5.32154e-05;-0.000106274;
0.0004328;5.32154e-05;-0.000106274;
0.0004428;5.32154e-05;-0.000106274;
0.0004528;5.32154e-05;-0.000106274;
0.0004628;5.32154e-05;-0.000106274;
0.0004728;5.32154e-05;-0.000106274;
0.0004828;5.32154e-05;-0.000106274;
0.0004928;5.32154e-05;-0.000106274;
0.0005028;5.32154e-05;-0.000106274;
0.0005128;5.32154e-05;-0.000106274;
0.0005228;5.32154e-05;-0.000106274;
0.0005328;5.32154e-05;-0.000106274;
0.0005428;5.32154e-05;-0.000106274;
0.0005528;5.32154e-05;-0.000106274;
0.0005628;5.32154e-05;-0.000106274;
0.0005728;5.32154e-05;-0.000106274;
0.0005828;5.32154e-05;-0.000106274;
0.0005928;5.32154e-05;-0.000106274;
0.0006028;5.32154e-05;-0.000106274;
0.0006128;5.32154e-05;-0.000106274;
