time;V(U_a)1;V(U_o)1;
0;5.31874e-05;-0.000106232;
1e-07;5.31874e-05;-0.000106232;
2e-07;5.31874e-05;-0.000106232;
4e-07;5.31874e-05;-0.000106232;
8e-07;5.31874e-05;-0.000106232;
1.6e-06;5.31874e-05;-0.000106232;
3.2e-06;5.31874e-05;-0.000106232;
6.4e-06;5.31874e-05;-0.000106232;
1.28e-05;5.31874e-05;-0.000106232;
2.28e-05;5.31874e-05;-0.000106232;
3.28e-05;5.31874e-05;-0.000106232;
4.28e-05;5.31874e-05;-0.000106232;
5.28e-05;5.31874e-05;-0.000106232;
6.28e-05;5.31874e-05;-0.000106232;
7.28e-05;5.31874e-05;-0.000106232;
8.28e-05;5.31874e-05;-0.000106232;
9.28e-05;5.31874e-05;-0.000106232;
0.0001028;5.31874e-05;-0.000106232;
0.0001128;5.31874e-05;-0.000106232;
0.0001228;5.31874e-05;-0.000106232;
0.0001328;5.31874e-05;-0.000106232;
0.0001428;5.31874e-05;-0.000106232;
0.0001528;5.31874e-05;-0.000106232;
0.0001628;5.31874e-05;-0.000106232;
0.0001728;5.31874e-05;-0.000106232;
0.0001828;5.31874e-05;-0.000106232;
0.0001928;5.31874e-05;-0.000106232;
0.0002028;5.31874e-05;-0.000106232;
0.0002128;5.31874e-05;-0.000106232;
0.0002228;5.31874e-05;-0.000106232;
0.0002328;5.31874e-05;-0.000106232;
0.0002428;5.31874e-05;-0.000106232;
0.0002528;5.31874e-05;-0.000106232;
0.0002628;5.31874e-05;-0.000106232;
0.0002728;5.31874e-05;-0.000106232;
0.0002828;5.31874e-05;-0.000106232;
0.0002928;5.31874e-05;-0.000106232;
0.0003028;5.31874e-05;-0.000106232;
0.0003128;5.31874e-05;-0.000106232;
0.0003228;5.31874e-05;-0.000106232;
0.0003328;5.31874e-05;-0.000106232;
0.0003428;5.31874e-05;-0.000106232;
0.0003528;5.31874e-05;-0.000106232;
0.0003628;5.31874e-05;-0.000106232;
0.0003728;5.31874e-05;-0.000106232;
0.0003828;5.31874e-05;-0.000106232;
