time;V(U_a)1;V(U_o)1;
0.0011928;5.3191e-05;-0.00010623;
0.0012028;5.31908e-05;-0.000106246;
0.0012128;5.31911e-05;-0.000106229;
0.0012228;5.31908e-05;-0.000106247;
0.0012328;5.31911e-05;-0.000106228;
0.0012428;5.31907e-05;-0.000106248;
0.0012528;5.31911e-05;-0.000106226;
0.0012628;5.31907e-05;-0.00010625;
0.0012728;5.31911e-05;-0.000106225;
0.0012828;5.31907e-05;-0.000106251;
0.0012928;5.31911e-05;-0.000106223;
0.0013028;5.31907e-05;-0.000106253;
0.0013128;5.31912e-05;-0.000106222;
0.0013228;5.31906e-05;-0.000106254;
0.0013328;5.31912e-05;-0.00010622;
0.0013428;5.31906e-05;-0.000106256;
0.0013528;5.31912e-05;-0.000106218;
0.0013628;5.31906e-05;-0.000106259;
0.0013728;5.31913e-05;-0.000106215;
0.0013828;5.31905e-05;-0.000106261;
0.0013928;5.31913e-05;-0.000106212;
0.0014028;5.31905e-05;-0.000106264;
0.0014128;5.31913e-05;-0.000106209;
0.0014228;5.31904e-05;-0.000106267;
0.0014328;5.31914e-05;-0.000106206;
0.0014428;5.31904e-05;-0.000106271;
0.0014528;5.31915e-05;-0.000106202;
0.0014628;5.31903e-05;-0.000106275;
0.0014728;5.31915e-05;-0.000106198;
0.0014828;5.31903e-05;-0.00010628;
0.0014928;5.31916e-05;-0.000106193;
0.0015028;5.31902e-05;-0.000106285;
0.0015128;5.31917e-05;-0.000106188;
0.0015228;5.31901e-05;-0.000106291;
0.0015328;5.31918e-05;-0.000106181;
0.0015428;5.319e-05;-0.000106297;
0.0015528;5.31919e-05;-0.000106175;
0.0015628;5.31899e-05;-0.000106304;
0.0015728;5.3192e-05;-0.000106167;
0.0015828;5.31898e-05;-0.000106312;
0.0015928;5.31921e-05;-0.000106158;
0.0016028;5.31896e-05;-0.000106321;
0.0016128;5.31923e-05;-0.000106149;
0.0016228;5.31895e-05;-0.000106332;
0.0016328;5.31925e-05;-0.000106138;
0.0016428;5.31893e-05;-0.000106343;
0.0016528;5.31926e-05;-0.000106126;
0.0016628;5.31891e-05;-0.000106356;
0.0016728;5.31929e-05;-0.000106112;
0.0016828;5.31889e-05;-0.00010637;
0.0016928;5.31931e-05;-0.000106097;
0.0017028;5.31886e-05;-0.000106386;
0.0017128;5.31934e-05;-0.00010608;
0.0017228;5.31883e-05;-0.000106404;
0.0017328;5.31936e-05;-0.000106061;
0.0017428;5.3188e-05;-0.000106425;
0.0017528;5.3194e-05;-0.00010604;
0.0017628;5.31877e-05;-0.000106447;
0.0017728;5.31944e-05;-0.000106016;
0.0017828;5.31873e-05;-0.000106473;
0.0017928;5.31948e-05;-0.000105989;
0.0018028;5.31868e-05;-0.000106501;
0.0018128;5.31952e-05;-0.000105958;
0.0018228;5.31863e-05;-0.000106533;
0.0018328;5.31958e-05;-0.000105924;
0.0018428;5.31858e-05;-0.000106569;
0.0018528;5.31964e-05;-0.000105886;
0.0018628;5.31851e-05;-0.000106609;
0.0018728;5.3197e-05;-0.000105844;
0.0018828;5.31844e-05;-0.000106655;
0.0018928;5.31978e-05;-0.000105796;
0.0019028;5.31837e-05;-0.000106705;
0.0019128;5.31986e-05;-0.000105742;
0.0019228;5.31828e-05;-0.000106762;
0.0019328;5.31995e-05;-0.000105682;
0.0019428;5.31818e-05;-0.000106826;
0.0019528;5.32006e-05;-0.000105615;
0.0019628;5.31807e-05;-0.000106897;
0.0019728;5.32017e-05;-0.000105539;
0.0019828;5.31794e-05;-0.000106977;
0.0019928;5.32031e-05;-0.000105454;
0.0020028;5.31781e-05;-0.000107067;
0.0020128;5.32045e-05;-0.000105359;
0.0020228;5.31765e-05;-0.000107168;
0.0020328;5.32062e-05;-0.000105253;
0.0020428;5.31747e-05;-0.000107281;
0.0020528;5.3208e-05;-0.000105133;
0.0020628;5.31728e-05;-0.000107407;
0.0020728;5.32101e-05;-0.000104999;
0.0020828;5.31706e-05;-0.000107549;
0.0020928;5.32124e-05;-0.000104849;
0.0021028;5.31681e-05;-0.000107708;
0.0021128;5.32151e-05;-0.00010468;
0.0021228;5.31653e-05;-0.000107887;
0.0021328;5.3218e-05;-0.000104491;
0.0021428;5.31622e-05;-0.000108087;
0.0021528;5.32213e-05;-0.000104279;
0.0021628;5.31588e-05;-0.000108312;
0.0021728;5.3225e-05;-0.000104041;
0.0021828;5.31549e-05;-0.000108563;
0.0021928;5.32291e-05;-0.000103775;
0.0022028;5.31505e-05;-0.000108846;
0.0022128;5.32337e-05;-0.000103476;
0.0022228;5.31456e-05;-0.000109162;
0.0022328;5.32389e-05;-0.000103141;
0.0022428;5.31401e-05;-0.000109517;
0.0022528;5.32447e-05;-0.000102765;
0.0022628;5.31339e-05;-0.000109915;
0.0022728;5.32513e-05;-0.000102343;
0.0022828;5.3127e-05;-0.000110362;
0.0022928;5.32586e-05;-0.00010187;
0.0023028;5.31192e-05;-0.000110862;
0.0023128;5.32668e-05;-0.00010134;
0.0023228;5.31105e-05;-0.000111424;
0.0023328;5.3276e-05;-0.000100745;
0.0023428;5.31008e-05;-0.000112053;
0.0023528;5.32864e-05;-0.000100079;
0.0023628;5.30898e-05;-0.00011276;
0.0023728;5.3298e-05;-9.93311e-05;
0.0023828;5.30775e-05;-0.000113551;
0.0023928;5.3311e-05;-9.84927e-05;
0.0024028;5.30638e-05;-0.000114439;
0.0024128;5.33255e-05;-9.75526e-05;
0.0024228;5.30483e-05;-0.000115435;
0.0024328;5.33419e-05;-9.64983e-05;
0.0024428;5.3031e-05;-0.000116551;
0.0024528;5.33602e-05;-9.5316e-05;
0.0024628;5.30116e-05;-0.000117803;
0.00247276;5.33808e-05;-9.39872e-05;
0.00248261;5.29896e-05;-0.000119221;
0.00249231;5.34044e-05;-9.24642e-05;
0.0025018;5.29641e-05;-0.000120869;
0.00251098;5.34323e-05;-9.06649e-05;
0.00251979;5.29333e-05;-0.000122857;
0.00252813;5.34669e-05;-8.84364e-05;
0.0025359;5.28939e-05;-0.0001254;
0.00254227;5.35159e-05;-8.52698e-05;
0.00254733;5.28269e-05;-0.000129722;
0.00255055;5.3626e-05;-7.81674e-05;
0.00255229;5.25852e-05;-0.000145315;
0.00255304;5.45592e-05;-1.79652e-05;
0.00255331;0.00010911;0.00350121;
0.00255344;0.000201123;0.00943615;
0.00255352;0.000310799;0.0165102;
0.00255358;0.000476311;0.0271832;
0.00255366;0.000796127;0.0478009;
0.00255372;0.00114992;0.0706008;
0.00255377;0.00161702;0.100693;
0.00255382;0.00228009;0.143384;
0.00255387;0.00333558;0.21134;
0.00255394;0.00514926;0.328189;
0.002554;0.00815947;0.522678;
0.00255407;0.0132168;0.852236;
0.0025541;0.0157788;1.01015;
0.00255411;0.018138;1.12422;
0.00255412;0.0198219;1.1806;
0.00255413;0.0213662;1.21789;
0.00255413;0.0230146;1.24862;
0.00255413;0.0251881;1.28087;
0.00255414;0.0286544;1.32195;
0.00255414;0.0329442;1.36408;
0.00255415;0.0418634;1.44021;
0.00255416;0.052644;1.52887;
0.00255417;0.0635735;1.62896;
0.00255418;0.0717141;1.7399;
0.00255419;0.0718283;1.83147;
0.00255419;0.0680931;1.91398;
