#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA2AFF
#Date Time: 2024-01-16 18:58:20.504
#Sample rate: 446429Hz
#Samples: 8192
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 2: Range: 5 V/div Offset: -500 mV Attenuation: 1 X Sample Mode: Average

Time (s),Channel 2 (V)
0.002789583353434303,10.99565771862554
0.002791823353434303,10.99937934202817
0.002794063353434304,10.99937934202817
0.002796303353434303,11.00682258883342
0.002798543353434303,11.01054421223604
0.002800783353434304,11.01426583563867
0.002803023353434303,11.02543070584654
0.002805263353434303,11.02543070584654
0.002807503353434304,11.02915232924917
0.002809743353434303,11.03659557605442
0.002811983353434303,11.04403882285967
0.002814223353434304,11.05148206966492
0.002816463353434303,11.04031719945705
0.002818703353434303,11.02170908244392
0.002820943353434304,11.01054421223603
0.002823183353434303,10.99193609522291
0.002825423353434303,10.98077122501504
0.002827663353434304,10.96960635480715
0.002829903353434303,10.95471986119667
0.002832143353434303,10.93239012078091
0.002834383353434304,10.91378200376777
0.002836623353434303,10.89889551015728
0.002838863353434303,10.86540089953365
0.002841103353434304,10.84307115911788
0.002843343353434303,10.81701979529953
0.002845583353434303,10.78352518467589
0.002847823353434304,10.7574738208575
0.002850063353434303,10.73142245703914
0.002852303353434303,10.69420622301288
0.002854543353434304,10.66443323579185
0.002856783353434303,10.62721700176563
0.002859023353434303,10.58255752093411
0.002861263353434304,10.54534128690784
0.002863503353434303,10.50440342947899
0.002865743353434303,10.45974394864747
0.002867983353434304,10.41508446781594
0.002870223353434303,10.36670336358186
0.002872463353434303,10.3183222593477
0.002874703353434304,10.26994115511355
0.002876943353434303,10.21783842747684
0.002879183353434303,10.16201407643743
0.002881423353434304,10.10618972539802
0.002883663353434303,10.04664375095607
0.002885903353434303,9.99081939991666
0.002888143353434304,9.923830178669373
0.002890383353434302,9.860562580824796
0.002892623353434303,9.801016606382762
0.002894863353434304,9.734027385135473
0.002897103353434302,9.670759787290898
0.002899343353434303,9.600048942640985
0.002901583353434304,9.529338097991065
0.002903823353434302,9.451184006536002
0.002906063353434303,9.384194785288706
0.002908303353434304,9.313483940638788
0.002910543353434302,9.235329849183723
0.002912783353434303,9.153454134325926
0.002915023353434304,9.071578419468132
0.002917263353434302,8.997145951415691
0.002919503353434303,8.915270236557896
0.002921743353434304,8.822229651492259
0.002923983353434302,8.747797183439783
0.002926223353434303,8.658478221776738
0.002928463353434304,8.576602506918977
0.002930703353434302,8.487283545256007
0.002932943353434303,8.40168620699558
0.002935183353434304,8.312367245332569
0.002937423353434302,8.219326660266974
0.002939663353434303,8.13000769860392
0.002941903353434304,8.036967113538283
0.002944143353434302,7.943926528472689
0.002946383353434303,7.850885943407009
0.002948623353434304,7.75040211153612
0.002950863353434302,7.653639903067903
0.002953103353434303,7.560599318002222
0.002955343353434304,7.460115486131333
0.002957583353434302,7.367074901065738
0.002959823353434303,7.262869445792182
0.002962063353434304,7.166107237323921
0.002964303353434302,7.061901782050454
0.002966543353434303,6.953974703374268
0.002968783353434304,6.853490871503379
0.002971023353434302,6.756728663035162
0.002973263353434303,6.652523207761604
0.002975503353434304,6.540874505682838
0.002977743353434302,6.440390673811996
0.002979983353434303,6.336185218538438
0.002982223353434304,6.228258139862298
0.002984463353434302,6.120331061186209
0.002986703353434303,6.016125605912647
0.002988943353434304,5.911920150639133
0.002991183353434302,5.800271448560419
0.002993423353434303,5.692344369884228
0.002995663353434303,5.580695667805465
0.002997903353434302,5.472768589129374
0.003000143353434303,5.368563133855812
0.003002383353434303,5.256914431777048
0.003004623353434302,5.145265729698333
0.003006863353434303,5.037338651022145
0.003009103353434303,4.918246702138129
0.003011343353434302,4.810319623462038
0.003013583353434303,4.698670921383226
0.003015823353434303,4.587022219304462
0.003018063353434302,4.471651893823124
0.003020303353434303,4.360003191744307
0.003022543353434303,4.248354489665543
0.003024783353434302,4.136705787586828
0.003027023353434303,4.032500332313264
0.003029263353434303,3.917130006831874
0.003031503353434302,3.801759681350537
0.003033743353434303,3.686389355869094
0.003035983353434303,3.57474065379033
0.003038223353434302,3.463091951711616
0.003040463353434303,3.351443249632801
0.003042703353434303,3.239794547554037
0.003044943353434302,3.128145845475323
0.003047183353434303,3.012775519993882
0.003049423353434303,2.901126817915118
0.003051663353434302,2.78575649243378
0.003053903353434303,2.677829413757589
0.003056143353434303,2.562459088276199
0.003058383353434302,2.447088762794861
0.003060623353434303,2.327996813910794
0.003062863353434303,2.22379135863728
0.003065103353434304,2.112142656558465
0.003067343353434303,2.000493954479751
0.003069583353434303,1.888845252400987
0.003071823353434304,1.773474926919548
0.003074063353434303,1.665547848243458
0.003076303353434303,1.553899146164693
0.003078543353434304,1.442250444085877
0.003080783353434303,1.326880118604539
0.003083023353434303,1.222674663331025
0.003085263353434304,1.107304337849585
0.003087503353434303,0.995655635770871
0.003089743353434303,0.8877285570947321
0.003091983353434304,0.7760798550159169
0.003094223353434303,0.6644311529372031
0.003096463353434303,0.5602256976636897
0.003098703353434304,0.4485769955848728
0.003100943353434303,0.3332066701035353
0.003103183353434303,0.2252795914273963
0.003105423353434304,0.1210741361538304
0.003107663353434303,0.005703810672492871
0.003109903353434303,-0.1059448914062716
0.003112143353434304,-0.2101503466798358
0.003114383353434303,-0.3217990487585495
0.003116623353434303,-0.4297261274346885
0.003118863353434304,-0.5413748295135036
0.003121103353434303,-0.6530235315922175
0.003123343353434303,-0.7609506102683563
