#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA2AFF
#Date Time: 2023-12-05 19:38:12.193
#Sample rate: 13428.2Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 2 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-0.2253470696655803,0.1053150015536819,-0.3077436008098867
-0.2252725996655803,0.08199934468715731,-0.2928571071993847
-0.2251981296655803,0.05902159589117253,-0.2816922369915134
-0.2251236596655803,0.03570593902464813,-0.2668057433810131
-0.2250491896655802,0.01205237408757302,-0.2481976263678722
-0.2249747196655802,-0.01126328277894093,-0.233311132757377
-0.2249002496655803,-0.03424103157493615,-0.2147030157442496
-0.2248257796655803,-0.05755668844146071,-0.1998165221337477
-0.2247513096655803,-0.08087234530798526,-0.1812084051206203
-0.2246768396655803,-0.1031742779629218,-0.1663219115101184
-0.2246023696655803,-0.1258141186883774,-0.1477137944969994
-0.2245278996655803,-0.1481160513433141,-0.129105677483872
-0.2244534296655802,-0.1707558920687999,-0.1104975604707277
-0.2243789596655802,-0.1923820085826775,-0.09188944345760026
-0.2243044896655803,-0.2133323089554871,-0.07328132644448132
-0.2242300196655803,-0.2339447012577769,-0.05095158602872843
-0.2241555496655803,-0.2545570935600667,-0.03234346901560102
-0.2240810796655803,-0.2741557616507686,-0.01001372859984813
-0.2240066096655803,-0.2937544297414614,0.008594388413270818
-0.2239321396655803,-0.3126772816911049,0.02720250542639823
-0.2238576696655802,-0.3302485013586471,0.04581062243954256
-0.2237831996655802,-0.347481812955643,0.06441873945267167
-0.2237087296655803,-0.363701400341044,0.0867484798684144
-0.2236342596655803,-0.3795830796559231,0.1016349734789163
-0.2235597896655803,-0.3944510347592141,0.1202430904920437
-0.2234853196655803,-0.4083052656509171,0.1388512075051712
-0.2234108496655803,-0.4214836804015614,0.1574593245182986
-0.2233363796655803,-0.4339862790111414,0.1760674415314175
-0.2232619096655802,-0.4451372453386199,0.1909539351419363
-0.2231874396655802,-0.4552744874544997,0.2095620521550621
-0.2231129696655803,-0.4643980053587877,0.2244485457655572
-0.2230384996655803,-0.4728457071220213,0.2430566627786847
-0.2229640296655803,-0.4799417766031375,0.2542215329865611
-0.2228895596655803,-0.4856862138021363,0.269108026597063
-0.2228150896655803,-0.4910927429306058,0.2839945202075649
-0.2227406196655803,-0.495147639776956,0.2951593904154363
-0.2226661496655802,-0.4978509043411934,0.3063242606233246
-0.2225916796655802,-0.4995404446938396,0.3212107542338248
-0.2225172096655803,-0.500216260834898,0.3323756244416962
-0.2224427396655803,-0.4998783527643686,0.3398188712469472
-0.2223682696655803,-0.4985267204822512,0.3509837414548236
-0.2222937996655803,-0.4958234559180166,0.3584269882600746
-0.2222193296655803,-0.4924443752127231,0.3658702350653256
-0.2221448596655803,-0.4880515702958437,0.3733134818705731
-0.2220703896655802,-0.4823071330968399,0.3807567286758291
-0.2219959196655802,-0.4755489716862524,0.3844783520784563
-0.2219214496655803,-0.4674391779935518,0.3919215988837039
