time;V(/U_ein);V(U_aus);
0.150135;0.809516;-10.4751;
0.151135;0.813189;-10.4752;
0.152135;0.816829;-10.4753;
0.153135;0.820438;-10.4753;
0.154135;0.824014;-10.4754;
0.155135;0.827558;-10.4755;
0.156135;0.831068;-10.4755;
0.157135;0.834547;-10.4756;
0.158135;0.837992;-10.4756;
0.159135;0.841404;-10.4757;
0.160135;0.844783;-10.4757;
0.161135;0.848128;-10.4758;
0.162135;0.85144;-10.4758;
0.163135;0.854719;-10.4759;
0.164135;0.857963;-10.4759;
0.165135;0.861174;-10.476;
0.166135;0.864351;-10.476;
0.167135;0.867493;-10.476;
0.168135;0.870602;-10.4761;
0.169135;0.873676;-10.4761;
0.170135;0.876715;-10.4761;
0.171135;0.87972;-10.4762;
0.172135;0.882691;-10.4762;
0.173135;0.885626;-10.4762;
0.174135;0.888526;-10.4763;
0.175135;0.891392;-10.4763;
0.176135;0.894222;-10.4763;
0.177135;0.897017;-10.4764;
0.178135;0.899776;-10.4764;
0.179135;0.9025;-10.4764;
0.180135;0.905188;-10.4764;
0.181135;0.907841;-10.4764;
0.182135;0.910458;-10.4765;
0.183135;0.913038;-10.4765;
0.184135;0.915583;-10.4765;
0.185135;0.918092;-10.4765;
0.186135;0.920564;-10.4765;
0.187135;0.923;-10.4765;
0.188135;0.925399;-10.4765;
0.189135;0.927762;-10.4766;
0.190135;0.930089;-10.4766;
0.191135;0.932378;-10.4766;
0.192135;0.934631;-10.4766;
0.193135;0.936847;-10.4766;
0.194135;0.939026;-10.4766;
0.195135;0.941168;-10.4766;
0.196135;0.943273;-10.4766;
0.197135;0.94534;-10.4766;
0.198135;0.947371;-10.4766;
0.199135;0.949363;-10.4766;
0.200135;0.951319;-10.4766;
0.201135;0.953236;-10.4767;
0.202135;0.955116;-10.4767;
0.203135;0.956959;-10.4767;
0.204135;0.958763;-10.4767;
0.205135;0.96053;-10.4767;
0.206135;0.962259;-10.4767;
0.207135;0.96395;-10.4767;
0.208135;0.965603;-10.4767;
0.209135;0.967217;-10.4767;
0.210135;0.968794;-10.4767;
0.211135;0.970332;-10.4767;
0.212135;0.971832;-10.4767;
0.213135;0.973294;-10.4767;
0.214135;0.974717;-10.4767;
0.215135;0.976102;-10.4767;
0.216135;0.977448;-10.4767;
0.217135;0.978755;-10.4767;
0.218135;0.980024;-10.4767;
0.219135;0.981255;-10.4767;
0.220135;0.982446;-10.4767;
0.221135;0.983599;-10.4767;
0.222135;0.984713;-10.4767;
0.223135;0.985788;-10.4767;
0.224135;0.986824;-10.4767;
0.225135;0.987821;-10.4767;
0.226135;0.988779;-10.4767;
0.227135;0.989698;-10.4767;
0.228135;0.990578;-10.4767;
0.229135;0.991419;-10.4767;
0.230135;0.992221;-10.4767;
0.231135;0.992983;-10.4767;
0.232135;0.993707;-10.4767;
0.233135;0.994391;-10.4767;
0.234135;0.995036;-10.4767;
0.235135;0.995642;-10.4767;
0.236135;0.996208;-10.4767;
0.237135;0.996735;-10.4767;
0.238135;0.997223;-10.4767;
0.239135;0.997671;-10.4767;
0.240135;0.99808;-10.4767;
0.241135;0.998449;-10.4767;
0.242135;0.998779;-10.4767;
0.243135;0.99907;-10.4767;
0.244135;0.999321;-10.4767;
0.245135;0.999533;-10.4767;
0.246135;0.999705;-10.4767;
0.247135;0.999838;-10.4767;
0.248135;0.999931;-10.4767;
0.249135;0.999985;-10.4767;
0.250135;1;-10.4767;
0.251135;0.999975;-10.4767;
0.252135;0.99991;-10.4767;
0.253135;0.999806;-10.4767;
0.254135;0.999662;-10.4767;
0.255135;0.99948;-10.4767;
0.256135;0.999257;-10.4767;
0.257135;0.998995;-10.4767;
0.258135;0.998694;-10.4767;
0.259135;0.998353;-10.4767;
0.260135;0.997973;-10.4767;
0.261135;0.997554;-10.4767;
0.262135;0.997095;-10.4767;
0.263135;0.996596;-10.4767;
0.264135;0.996059;-10.4767;
0.265135;0.995482;-10.4767;
0.266135;0.994865;-10.4767;
0.267135;0.99421;-10.4767;
0.268135;0.993515;-10.4767;
0.269135;0.992781;-10.4767;
0.270135;0.992008;-10.4767;
0.271135;0.991196;-10.4767;
0.272135;0.990344;-10.4767;
0.273135;0.989453;-10.4767;
0.274135;0.988524;-10.4767;
0.275135;0.987555;-10.4767;
0.276135;0.986547;-10.4767;
0.277135;0.985501;-10.4767;
0.278135;0.984415;-10.4767;
0.279135;0.983291;-10.4767;
0.280135;0.982128;-10.4767;
0.281135;0.980926;-10.4767;
0.282135;0.979685;-10.4767;
0.283135;0.978406;-10.4767;
0.284135;0.977088;-10.4767;
0.285135;0.975731;-10.4767;
0.286135;0.974336;-10.4767;
0.287135;0.972903;-10.4767;
0.288135;0.971431;-10.4767;
0.289135;0.96992;-10.4767;
0.290135;0.968372;-10.4767;
0.291135;0.966785;-10.4767;
0.292135;0.96516;-10.4767;
0.293135;0.963497;-10.4767;
0.294135;0.961796;-10.4767;
0.295135;0.960056;-10.4767;
0.296135;0.958279;-10.4767;
0.297135;0.956465;-10.4767;
0.298135;0.954612;-10.4767;
0.299135;0.952722;-10.4767;
0.300135;0.950794;-10.4767;
0.301135;0.948828;-10.4767;
0.302135;0.946825;-10.4766;
0.303135;0.944785;-10.4766;
0.304135;0.942708;-10.4766;
0.305135;0.940593;-10.4766;
0.306135;0.938441;-10.4766;
0.307135;0.936252;-10.4766;
0.308135;0.934026;-10.4766;
0.309135;0.931763;-10.4766;
0.310135;0.929464;-10.4766;
0.311135;0.927127;-10.4766;
0.312135;0.924754;-10.4766;
0.313135;0.922345;-10.4766;
0.314135;0.919899;-10.4765;
0.315135;0.917417;-10.4765;
0.316135;0.914899;-10.4765;
0.317135;0.912344;-10.4765;
0.318135;0.909754;-10.4765;
0.319135;0.907127;-10.4765;
0.320135;0.904465;-10.4765;
0.321135;0.901767;-10.4764;
0.322135;0.899034;-10.4764;
0.323135;0.896265;-10.4764;
0.324135;0.89346;-10.4764;
0.325135;0.890621;-10.4763;
0.326135;0.887746;-10.4763;
0.327135;0.884836;-10.4763;
0.328135;0.881891;-10.4763;
0.329135;0.878912;-10.4762;
0.330135;0.875897;-10.4762;
0.331135;0.872848;-10.4762;
0.332135;0.869765;-10.4761;
0.333135;0.866647;-10.4761;
0.334135;0.863495;-10.4761;
0.335135;0.860309;-10.476;
0.336135;0.857089;-10.476;
0.337135;0.853836;-10.4759;
0.338135;0.850548;-10.4759;
0.339135;0.847227;-10.4759;
0.340135;0.843873;-10.4758;
0.341135;0.840485;-10.4758;
0.342135;0.837064;-10.4757;
0.343135;0.83361;-10.4757;
0.344135;0.830123;-10.4756;
0.345135;0.826603;-10.4756;
0.346135;0.823051;-10.4755;
0.347135;0.819466;-10.4754;
0.348135;0.815848;-10.4754;
0.349135;0.812199;-10.4753;
0.350135;0.808518;-10.4753;
0.351135;0.804804;-10.4752;
0.352135;0.801059;-10.4751;
0.353135;0.797282;-10.4751;
0.354135;0.793474;-10.475;
0.355135;0.789634;-10.4749;
0.356135;0.785763;-10.4748;
0.357135;0.781862;-10.4748;
0.358135;0.777929;-10.4747;
0.359135;0.773966;-10.4746;
0.360135;0.769972;-10.4745;
0.361135;0.765947;-10.4744;
0.362135;0.761893;-10.4743;
0.363135;0.757808;-10.4742;
0.364135;0.753694;-10.4741;
0.365135;0.749549;-10.474;
0.366135;0.745375;-10.4739;
0.367135;0.741172;-10.4738;
0.368135;0.736939;-10.4737;
0.369135;0.732678;-10.4736;
0.370135;0.728387;-10.4735;
0.371135;0.724068;-10.4734;
0.372135;0.71972;-10.4733;
0.373135;0.715343;-10.4732;
0.374135;0.710939;-10.473;
0.375135;0.706506;-10.4729;
0.376135;0.702045;-10.4728;
0.377135;0.697557;-10.4727;
0.378135;0.693041;-10.4725;
0.379135;0.688498;-10.4724;
0.380135;0.683928;-10.4723;
0.381135;0.67933;-10.4721;
0.382135;0.674706;-10.472;
0.383135;0.670055;-10.4718;
0.384135;0.665378;-10.4717;
0.385135;0.660675;-10.4715;
0.386135;0.655945;-10.4713;
0.387135;0.651189;-10.4712;
0.388135;0.646408;-10.471;
0.389135;0.641602;-10.4709;
0.390135;0.636769;-10.4707;
0.391135;0.631912;-10.4705;
0.392135;0.62703;-10.4703;
0.393135;0.622123;-10.4701;
0.394135;0.617192;-10.4699;
0.395135;0.612236;-10.4698;
0.396135;0.607256;-10.4696;
0.397135;0.602252;-10.4694;
0.398135;0.597224;-10.4691;
0.399135;0.592173;-10.4689;
0.400135;0.587098;-10.4687;
0.401135;0.582;-10.4685;
0.402135;0.576879;-10.4683;
0.403135;0.571736;-10.4681;
0.404135;0.566569;-10.4678;
0.405135;0.561381;-10.4676;
0.406135;0.55617;-10.4673;
0.407135;0.550937;-10.4671;
0.408135;0.545683;-10.4668;
0.409135;0.540407;-10.4666;
0.410135;0.53511;-10.4663;
0.411135;0.529791;-10.466;
0.412135;0.524452;-10.4658;
0.413135;0.519092;-10.4655;
0.414135;0.513711;-10.4652;
0.415135;0.50831;-10.4649;
0.416135;0.502889;-10.4646;
0.417135;0.497449;-10.4643;
0.418135;0.491988;-10.464;
0.419135;0.486508;-10.4637;
0.420135;0.481009;-10.4633;
0.421135;0.475491;-10.463;
0.422135;0.469955;-10.4627;
0.423135;0.464399;-10.4623;
0.424135;0.458825;-10.462;
0.425135;0.453234;-10.4616;
0.426135;0.447624;-10.4612;
0.427135;0.441997;-10.4608;
0.428135;0.436352;-10.4605;
0.429135;0.43069;-10.4601;
0.430135;0.425011;-10.4596;
0.431135;0.419315;-10.4592;
0.432135;0.413603;-10.4588;
0.433135;0.407874;-10.4584;
0.434135;0.402129;-10.4579;
0.435135;0.396368;-10.4575;
0.436135;0.390592;-10.457;
0.437135;0.3848;-10.4565;
0.438135;0.378993;-10.456;
0.439135;0.373171;-10.4555;
0.440135;0.367335;-10.455;
0.441135;0.361484;-10.4544;
0.442135;0.355618;-10.4539;
0.443135;0.349739;-10.4533;
0.444135;0.343846;-10.4527;
0.445135;0.337939;-10.4521;
0.446135;0.332019;-10.4515;
0.447135;0.326085;-10.4509;
0.448135;0.320139;-10.4502;
0.449135;0.31418;-10.4496;
0.450135;0.308209;-10.4489;
0.451135;0.302226;-10.4481;
0.452135;0.296231;-10.4474;
0.453135;0.290224;-10.4466;
0.454135;0.284205;-10.4458;
0.455135;0.278176;-10.445;
0.456135;0.272135;-10.4442;
0.457135;0.266084;-10.4433;
0.458135;0.260022;-10.4423;
0.459135;0.253949;-10.4414;
0.460135;0.247867;-10.4404;
0.461135;0.241775;-10.4393;
0.462135;0.235674;-10.4383;
0.463135;0.229563;-10.4371;
0.464135;0.223443;-10.4359;
0.465135;0.217314;-10.4347;
0.466135;0.211177;-10.4333;
0.467135;0.205032;-10.4319;
0.468135;0.198878;-10.4305;
0.469135;0.192716;-10.4289;
0.470135;0.186547;-10.4272;
0.471135;0.180371;-10.4254;
0.472135;0.174187;-10.4235;
0.473135;0.167996;-10.4214;
0.474135;0.161799;-10.4192;
0.475135;0.155596;-10.4167;
0.476135;0.149386;-10.414;
0.477135;0.14317;-10.411;
0.478135;0.136949;-10.4077;
0.479135;0.130722;-10.4039;
0.480135;0.124491;-10.3995;
0.481135;0.118254;-10.3944;
