#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA2AFF
#Date Time: 2024-01-16 21:14:13.288
#Sample rate: 1.25e+07Hz
#Samples: 8192
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 2 V Hyst.: 0 V HoldOff: 0 s
#Channel 1: Range: 5 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 5 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-0.0005299505007153076,5.680447151781653,-0.03234346901560102
-0.0005298705007153075,5.676732930091409,-0.03606509241822312
-0.0005297905007153076,5.665590265020717,-0.03234346901560102
-0.0005297105007153076,5.665590265020717,-0.03234346901560102
-0.0005296305007153077,5.658161821640256,-0.03606509241822312
-0.0005295505007153076,5.658161821640249,-0.0360650924182265
-0.0005294705007153075,5.654447599950005,-0.03606509241822312
-0.0005293905007153076,5.643304934879314,-0.03234346901559933
-0.0005293105007153076,5.643304934879314,-0.02862184561297554
-0.0005292305007153076,5.643304934879314,-0.03234346901559933
-0.0005291505007153076,5.639590713189079,-0.03234346901560102
-0.0005290705007153075,5.639590713189076,-0.02862184561298231
-0.0005289905007153076,5.635876491498848,-0.03606509241822481
-0.0005289105007153076,5.639590713189079,-0.03234346901560102
-0.0005288305007153076,5.628448048118384,-0.03234346901560102
-0.0005287505007153076,5.632162269808607,-0.0360650924182265
-0.0005286705007153076,5.621019604737915,-0.0360650924182265
-0.0005285905007153075,5.617305383047676,-0.03606509241822312
-0.0005285105007153076,5.617305383047676,-0.02862184561297554
-0.0005284305007153076,5.613591161357444,-0.03234346901559933
-0.0005283505007153077,5.609876939667212,-0.03606509241822312
-0.0005282705007153076,5.609876939667209,-0.04350833922347747
-0.0005281905007153075,5.606162717976972,-0.02862184561298231
-0.0005281105007153076,5.60244849628674,-0.0360650924182265
-0.0005280305007153076,5.598734274596509,-0.0360650924182265
-0.0005279505007153077,5.595020052906277,-0.03234346901560441
-0.0005278705007153076,5.591305831216039,-0.03234346901560102
-0.0005277905007153075,5.591305831216032,-0.0397867158208486
-0.0005277105007153076,5.583877387835567,-0.0360650924182265
-0.0005276305007153076,5.576448944455104,-0.0360650924182265
-0.0005275505007153077,5.580163166145334,-0.03234346901560441
-0.0005274705007153076,5.576448944455104,-0.02862184561297554
-0.0005273905007153075,5.57273472276487,-0.02862184561298231
-0.0005273105007153076,5.572734722764866,-0.0360650924182265
-0.0005272305007153076,5.565306279384401,-0.0360650924182265
-0.0005271505007153076,5.565306279384401,-0.02862184561297892
-0.0005270705007153076,5.5541636143137,-0.02862184561297554
-0.0005269905007153076,5.5541636143137,-0.02862184561297554
-0.0005269105007153075,5.550449392623465,-0.02490022221035175
-0.0005268305007153076,5.546735170933232,-0.02862184561297554
-0.0005267505007153076,5.543020949243,-0.03234346901559933
-0.0005266705007153077,5.531878284172307,-0.02117859880773473
-0.0005265905007153076,5.531878284172297,-0.03234346901560102
-0.0005265105007153075,5.531878284172297,-0.03606509241821635
