time;V(Net-_D1-A_);V(U_a);
0;2.62064;0.0202053;
1e-08;2.62062;0.0203151;
2e-08;2.62059;0.0203155;
4e-08;2.62054;0.0203155;
8e-08;2.62043;0.0203155;
1.6e-07;2.62023;0.0203155;
3.2e-07;2.61981;0.0203155;
6.4e-07;2.61898;0.0203155;
1.28e-06;2.61733;0.0203155;
2.28e-06;2.61474;0.0203155;
3.28e-06;2.61215;0.0203155;
4.28e-06;2.60957;0.0203155;
5.28e-06;2.607;0.0203155;
6.28e-06;2.60442;0.0203155;
7.28e-06;2.60185;0.0203155;
8.28e-06;2.59929;0.0203155;
9.28e-06;2.59672;0.0203155;
1.028e-05;2.59416;0.0203155;
1.128e-05;2.59161;0.0203155;
1.228e-05;2.58905;0.0203155;
1.328e-05;2.5865;0.0203155;
1.428e-05;2.58396;0.0203155;
1.528e-05;2.58141;0.0203155;
1.628e-05;2.57887;0.0203155;
1.728e-05;2.57634;0.0203155;
1.828e-05;2.5738;0.0203155;
1.928e-05;2.57127;0.0203155;
2.028e-05;2.56875;0.0203155;
2.128e-05;2.56622;0.0203155;
2.228e-05;2.5637;0.0203155;
2.328e-05;2.56119;0.0203155;
2.428e-05;2.55867;0.0203155;
2.528e-05;2.55616;0.0203155;
2.628e-05;2.55366;0.0203155;
2.728e-05;2.55115;0.0203155;
2.828e-05;2.54865;0.0203155;
2.928e-05;2.54615;0.0203155;
3.028e-05;2.54366;0.0203155;
3.128e-05;2.54117;0.0203155;
3.228e-05;2.53868;0.0203155;
3.328e-05;2.5362;0.0203155;
3.428e-05;2.53372;0.0203155;
3.528e-05;2.53124;0.0203155;
3.628e-05;2.52877;0.0203155;
3.728e-05;2.5263;0.0203155;
3.828e-05;2.52383;0.0203155;
3.928e-05;2.52136;0.0203155;
4.028e-05;2.5189;0.0203155;
4.128e-05;2.51645;0.0203155;
4.228e-05;2.51399;0.0203155;
4.328e-05;2.51154;0.0203155;
4.428e-05;2.50909;0.0203155;
4.528e-05;2.50665;0.0203155;
4.628e-05;2.5042;0.0203155;
4.728e-05;2.50177;0.0203155;
4.828e-05;2.49933;0.0203155;
4.928e-05;2.4969;0.0203155;
5.028e-05;2.49447;0.0203155;
5.128e-05;2.49204;0.0203155;
5.228e-05;2.48962;0.0203155;
5.328e-05;2.4872;0.0203155;
5.428e-05;2.48479;0.0203155;
5.528e-05;2.48237;0.0203155;
5.628e-05;2.47996;0.0203155;
5.728e-05;2.47756;0.0203155;
5.828e-05;2.47515;0.0203155;
5.928e-05;2.47275;0.0203155;
6.028e-05;2.47035;0.0203155;
6.128e-05;2.46796;0.0203155;
6.228e-05;2.46557;0.0203155;
6.328e-05;2.46318;0.0203155;
6.428e-05;2.4608;0.0203155;
6.528e-05;2.45841;0.0203155;
6.628e-05;2.45604;0.0203155;
6.728e-05;2.45366;0.0203155;
6.828e-05;2.45129;0.0203155;
6.928e-05;2.44892;0.0203155;
7.028e-05;2.44655;0.0203155;
7.128e-05;2.44419;0.0203155;
7.228e-05;2.44183;0.0203155;
7.328e-05;2.43947;0.0203155;
7.428e-05;2.43712;0.0203155;
7.528e-05;2.43477;0.0203155;
7.628e-05;2.43242;0.0203155;
7.728e-05;2.43008;0.0203155;
7.828e-05;2.42774;0.0203155;
7.928e-05;2.4254;0.0203155;
8.028e-05;2.42306;0.0203155;
8.128e-05;2.42073;0.0203155;
8.228e-05;2.4184;0.0203155;
8.328e-05;2.41608;0.0203155;
8.428e-05;2.41375;0.0203155;
8.528e-05;2.41143;0.0203155;
8.628e-05;2.40912;0.0203155;
8.728e-05;2.4068;0.0203155;
8.828e-05;2.40449;0.0203155;
8.928e-05;2.40218;0.0203155;
9.028e-05;2.39988;0.0203155;
9.128e-05;2.39758;0.0203155;
9.228e-05;2.39528;0.0203155;
9.328e-05;2.39298;0.0203155;
9.428e-05;2.39069;0.0203155;
9.528e-05;2.3884;0.0203155;
9.628e-05;2.38612;0.0203155;
9.728e-05;2.38383;0.0203155;
9.828e-05;2.38155;0.0203155;
9.928e-05;2.37927;0.0203155;
0.00010028;2.377;0.0203155;
0.00010128;2.37473;0.0203155;
0.00010228;2.37246;0.0203155;
0.00010328;2.37019;0.0203155;
0.00010428;2.36793;0.0203155;
0.00010528;2.36567;0.0203155;
0.00010628;2.36341;0.0203155;
0.00010728;2.36116;0.0203155;
0.00010828;2.35891;0.0203155;
0.00010928;2.35666;0.0203155;
0.00011028;2.35442;0.0203155;
0.00011128;2.35217;0.0203155;
0.00011228;2.34993;0.0203155;
0.00011328;2.3477;0.0203155;
0.00011428;2.34547;0.0203155;
0.00011528;2.34324;0.0203155;
0.00011628;2.34101;0.0203155;
0.00011728;2.33878;0.0203155;
0.00011828;2.33656;0.0203155;
0.00011928;2.33434;0.0203155;
0.00012028;2.33213;0.0203155;
0.00012128;2.32991;0.0203155;
0.00012228;2.3277;0.0203155;
0.00012328;2.3255;0.0203155;
0.00012428;2.32329;0.0203155;
0.00012528;2.32109;0.0203155;
0.00012628;2.31889;0.0203155;
0.00012728;2.3167;0.0203155;
0.00012828;2.31451;0.0203155;
0.00012928;2.31232;0.0203155;
0.00013028;2.31013;0.0203155;
0.00013128;2.30795;0.0203155;
0.00013228;2.30577;0.0203155;
0.00013328;2.30359;0.0203155;
0.00013428;2.30141;0.0203155;
0.00013528;2.29924;0.0203155;
0.00013628;2.29707;0.0203155;
0.00013728;2.2949;0.0203155;
0.00013828;2.29274;0.0203155;
0.00013928;2.29058;0.0203155;
0.00014028;2.28842;0.0203155;
0.00014128;2.28627;0.0203155;
0.00014228;2.28411;0.0203155;
0.00014328;2.28196;0.0203155;
0.00014428;2.27982;0.0203155;
0.00014528;2.27767;0.0203162;
0.000145851;2.28736;10.9638;
0.000146335;2.30479;12.6621;
0.000146726;2.31889;11.0331;
0.000146877;2.32429;11.6531;
0.000146951;2.32695;11.4536;
0.000146986;2.32822;11.5667;
0.000147008;2.32902;11.5374;
0.000147026;2.32967;11.5419;
0.000147044;2.3303;11.5409;
0.000147064;2.33101;11.5408;
0.000147084;2.33174;11.5415;
0.000147106;2.33255;11.5408;
0.000147131;2.33344;11.5417;
0.000147158;2.3344;11.5409;
0.000147188;2.33547;11.5418;
0.000147221;2.33665;11.5412;
0.000147257;2.33794;11.542;
0.000147296;2.33936;11.5415;
0.000147339;2.3409;11.5422;
0.000147386;2.34257;11.5418;
0.000147435;2.34435;11.5425;
0.000147487;2.34621;11.5421;
0.000147539;2.34808;11.5428;
0.00014759;2.34989;11.5424;
0.00014764;2.35169;11.5431;
0.00014769;2.35347;11.5428;
0.000147739;2.35526;11.5434;
0.00014779;2.35706;11.5431;
0.000147841;2.35888;11.5437;
0.000147893;2.36075;11.5434;
0.000147946;2.36266;11.5439;
0.000148005;2.36478;11.5437;
0.000148075;2.36727;11.5443;
0.000148161;2.37035;11.5442;
0.000148276;2.37446;11.5448;
0.000148442;2.3804;11.545;
0.000148705;2.38978;11.546;
0.000149169;2.40634;11.5469;
0.000150098;2.43936;11.5495;
0.000151098;2.47478;11.5515;
0.000152098;2.51006;11.5538;
0.000153098;2.5452;11.5554;
0.000154098;2.5802;11.5575;
0.000155098;2.61505;11.5589;
0.000156098;2.64978;11.5607;
0.000157098;2.68436;11.5619;
0.000158098;2.7188;11.5636;
0.000159098;2.75311;11.5646;
0.000160098;2.78728;11.5661;
0.000161098;2.82132;11.567;
0.000162098;2.85522;11.5685;
0.000163098;2.88898;11.5693;
0.000164098;2.92261;11.5706;
0.000165098;2.95611;11.5713;
0.000166098;2.98947;11.5726;
0.000167098;3.0227;11.5732;
0.000168098;3.0558;11.5744;
0.000169098;3.08876;11.5749;
0.000170098;3.1216;11.5761;
0.000171098;3.1543;11.5766;
0.000172098;3.18688;11.5777;
0.000173098;3.21932;11.5781;
0.000174098;3.25164;11.5792;
0.000175098;3.28383;11.5796;
0.000176098;3.31589;11.5806;
0.000177098;3.34782;11.5809;
0.000178098;3.37962;11.5819;
0.000179098;3.4113;11.5822;
0.000180098;3.44285;11.5831;
0.000181098;3.47428;11.5835;
0.000182098;3.50558;11.5843;
0.000183098;3.53675;11.5846;
0.000184098;3.56781;11.5855;
0.000185098;3.59874;11.5858;
0.000186098;3.62954;11.5866;
0.000187098;3.66023;11.5868;
0.000188098;3.69079;11.5876;
0.000189098;3.72123;11.5879;
0.000190098;3.75155;11.5886;
0.000191098;3.78174;11.5888;
0.000192098;3.81182;11.5896;
0.000193098;3.84178;11.5898;
0.000194098;3.87162;11.5905;
0.000195098;3.90134;11.5907;
0.000196098;3.93094;11.5914;
0.000197098;3.96043;11.5916;
0.000198098;3.98979;11.5923;
0.000199098;4.01904;11.5924;
0.000200098;4.04818;11.5931;
0.000201098;4.0772;11.5932;
0.000202098;4.1061;11.5939;
0.000203098;4.13489;11.594;
0.000204098;4.16356;11.5947;
0.000205098;4.19212;11.5948;
0.000206098;4.22056;11.5954;
0.000207098;4.2489;11.5955;
0.000208098;4.27712;11.5961;
0.000209098;4.30522;11.5962;
0.000210098;4.33322;11.5969;
0.000211098;4.3611;11.5969;
0.000212098;4.38888;11.5975;
0.000213098;4.41654;11.5976;
0.000214098;4.44409;11.5982;
0.000215098;4.47154;11.5983;
0.000216098;4.49887;11.5989;
0.000217098;4.5261;11.5989;
0.000218098;4.55321;11.5995;
