time	V(n001)	V(n002)
2.954653936221405e-004	5.289641e+000	1.194160e+001
3.019204382649976e-004	5.865167e+000	1.194996e+001
3.083754829078548e-004	6.394074e+000	1.195643e+001
3.148305275507119e-004	6.876360e+000	1.196100e+001
3.212855721935690e-004	7.312027e+000	1.196368e+001
3.277406168364262e-004	7.701073e+000	1.196446e+001
3.330506211088872e-004	8.003733e+000	1.196696e+001
3.330606211088872e-004	8.004282e+000	1.195049e+001
3.330706211088872e-004	8.004827e+000	1.181927e+001
3.330806211088872e-004	8.005340e+000	1.108596e+001
3.330906211088872e-004	8.005681e+000	8.710908e+000
3.331106211088872e-004	8.004903e+000	1.593651e+000
3.331156211088872e-004	8.004376e+000	5.494455e-001
3.331256211088872e-004	8.003304e+000	2.048378e-001
3.331456211088872e-004	8.001109e+000	8.079626e-002
3.331856211088871e-004	7.996710e+000	6.603715e-002
3.397744603946015e-004	7.315496e+000	6.041881e-002
3.463632996803158e-004	6.682534e+000	5.519822e-002
3.529521389660301e-004	6.097823e+000	5.037539e-002
3.595409782517444e-004	5.561364e+000	4.595031e-002
3.661298175374586e-004	5.073157e+000	4.192298e-002
3.727186568231729e-004	4.633203e+000	3.829340e-002
3.793074961088872e-004	4.241499e+000	3.506157e-002
3.836325932310796e-004	3.996636e+000	3.304010e-002
3.836425932310796e-004	3.996087e+000	3.422109e-002
3.836525932310796e-004	3.995538e+000	5.188336e-002
3.836625932310796e-004	3.994994e+000	1.819097e-001
3.836725932310795e-004	3.994481e+000	9.140019e-001
3.836825932310795e-004	3.994139e+000	3.289037e+000
3.837025932310795e-004	3.994918e+000	1.040633e+001
3.837075932310796e-004	3.995444e+000	1.145054e+001
3.837175932310796e-004	3.996517e+000	1.179516e+001
3.837375932310795e-004	3.998711e+000	1.191920e+001
3.901926378739367e-004	4.667479e+000	1.193135e+001
3.966476825167938e-004	5.289627e+000	1.194160e+001
4.031027271596510e-004	5.865154e+000	1.194996e+001
4.095577718025081e-004	6.394062e+000	1.195643e+001
4.160128164453653e-004	6.876349e+000	1.196100e+001
4.224678610882225e-004	7.312017e+000	1.196368e+001
4.289229057310796e-004	7.701064e+000	1.196446e+001
4.342329100035406e-004	8.003724e+000	1.196696e+001
4.342429100035406e-004	8.004273e+000	1.195049e+001
4.342529100035406e-004	8.004818e+000	1.181927e+001
4.342629100035406e-004	8.005331e+000	1.108596e+001
4.342729100035405e-004	8.005672e+000	8.710905e+000
4.342929100035405e-004	8.004894e+000	1.593650e+000
4.342979100035406e-004	8.004368e+000	5.494449e-001
4.343079100035406e-004	8.003295e+000	2.048375e-001
4.343279100035405e-004	8.001101e+000	8.079617e-002
4.343679100035405e-004	7.996702e+000	6.603707e-002
4.409567492892548e-004	7.315488e+000	6.041874e-002
4.475455885749691e-004	6.682526e+000	5.519817e-002
4.541344278606834e-004	6.097816e+000	5.037534e-002
4.607232671463977e-004	5.561358e+000	4.595026e-002
4.673121064321120e-004	5.073152e+000	4.192294e-002
4.739009457178263e-004	4.633198e+000	3.829336e-002
4.804897850035406e-004	4.241495e+000	3.506153e-002
4.848148821257329e-004	3.996632e+000	3.304006e-002
4.848248821257329e-004	3.996083e+000	3.422105e-002
4.848348821257329e-004	3.995534e+000	5.188331e-002
4.848448821257329e-004	3.994989e+000	1.819095e-001
4.848548821257329e-004	3.994477e+000	9.140011e-001
4.848648821257329e-004	3.994135e+000	3.289036e+000
4.848848821257329e-004	3.994914e+000	1.040633e+001
4.848898821257329e-004	3.995440e+000	1.145054e+001
4.848998821257329e-004	3.996513e+000	1.179516e+001
4.849198821257329e-004	3.998707e+000	1.191920e+001
4.913749267685901e-004	4.667475e+000	1.193135e+001
4.978299714114473e-004	5.289623e+000	1.194160e+001
5.042850160543044e-004	5.865151e+000	1.194996e+001
5.107400606971615e-004	6.394059e+000	1.195643e+001
5.171951053400186e-004	6.876346e+000	1.196100e+001
5.236501499828758e-004	7.312014e+000	1.196368e+001
5.301051946257330e-004	7.701062e+000	1.196446e+001
5.354151988981942e-004	8.003722e+000	1.196696e+001
5.354251988981942e-004	8.004272e+000	1.195049e+001
5.354351988981943e-004	8.004816e+000	1.181927e+001
5.354451988981943e-004	8.005329e+000	1.108596e+001
5.354551988981944e-004	8.005670e+000	8.710904e+000
5.354751988981944e-004	8.004891e+000	1.593649e+000
