time;V(U_a);V(U_tr);
1.22351e-05;11.382;5.34291;
1.23351e-05;11.3832;5.35128;
1.24351e-05;11.3822;5.35964;
1.25351e-05;11.3834;5.36799;
1.26351e-05;11.3824;5.37633;
1.27351e-05;11.3836;5.38465;
1.28351e-05;11.3826;5.39297;
1.29351e-05;11.3838;5.40127;
1.30351e-05;11.3827;5.40956;
1.31351e-05;11.384;5.41784;
1.32351e-05;11.3829;5.42611;
1.33351e-05;11.3842;5.43437;
1.34351e-05;11.3831;5.44261;
1.35351e-05;11.3844;5.45085;
1.36351e-05;11.3833;5.45907;
1.37351e-05;11.3846;5.46728;
1.38351e-05;11.3835;5.47548;
1.39351e-05;11.3848;5.48367;
1.40351e-05;11.3837;5.49185;
1.41351e-05;11.385;5.50001;
1.42351e-05;11.3839;5.50817;
1.43351e-05;11.3852;5.51632;
1.44351e-05;11.3841;5.52445;
1.45351e-05;11.3854;5.53257;
1.46351e-05;11.3843;5.54068;
1.47351e-05;11.3856;5.54878;
1.48351e-05;11.3845;5.55687;
1.49351e-05;11.3858;5.56495;
1.50351e-05;11.3847;5.57302;
1.51351e-05;11.386;5.58107;
1.52351e-05;11.3849;5.58912;
1.53351e-05;11.3862;5.59715;
1.54351e-05;11.3851;5.60517;
1.55351e-05;11.3863;5.61318;
1.56351e-05;11.3852;5.62118;
1.57351e-05;11.3865;5.62917;
1.58351e-05;11.3854;5.63715;
1.59351e-05;11.3867;5.64512;
1.60351e-05;11.3856;5.65308;
1.61351e-05;11.3869;5.66102;
1.62351e-05;11.3858;5.66896;
1.63351e-05;11.3871;5.67688;
1.64351e-05;11.386;5.6848;
1.65351e-05;11.3873;5.6927;
1.66351e-05;11.3862;5.70059;
1.67351e-05;11.3875;5.70847;
1.68351e-05;11.3864;5.71634;
1.69351e-05;11.3877;5.7242;
1.70351e-05;11.3866;5.73205;
1.71351e-05;11.3879;5.73989;
1.72351e-05;11.3868;5.74772;
1.73351e-05;11.3881;5.75553;
1.74351e-05;11.3869;5.76334;
1.75351e-05;11.3882;5.77113;
1.76351e-05;11.3871;5.77892;
1.77351e-05;11.3884;5.78669;
1.78351e-05;11.3873;5.79446;
1.79351e-05;11.3886;5.80221;
1.80351e-05;11.3875;5.80995;
1.81351e-05;11.3888;5.81768;
1.82351e-05;11.3877;5.8254;
1.83351e-05;11.389;5.83311;
1.84351e-05;11.3879;5.84081;
1.85351e-05;11.3892;5.8485;
1.86351e-05;11.3881;5.85618;
1.87351e-05;11.3894;5.86385;
1.88351e-05;11.3882;5.8715;
1.89351e-05;11.3896;5.87915;
1.90351e-05;11.3884;5.88679;
1.91351e-05;11.3897;5.89441;
1.92351e-05;11.3886;5.90203;
1.93351e-05;11.3899;5.90963;
1.94351e-05;11.3888;5.91723;
1.95351e-05;11.3901;5.92481;
1.96351e-05;11.389;5.93239;
1.97351e-05;11.3903;5.93995;
1.98351e-05;11.3892;5.9475;
1.99351e-05;11.3905;5.95505;
2.00351e-05;11.3894;5.96258;
2.01351e-05;11.3907;5.9701;
2.02351e-05;11.3895;5.97761;
2.03351e-05;11.3909;5.98512;
2.04351e-05;11.3897;5.99261;
2.05351e-05;11.391;6.00009;
2.06351e-05;11.3899;6.00756;
2.07351e-05;11.3912;6.01502;
2.08351e-05;11.3901;6.02247;
2.09351e-05;11.3914;6.02991;
2.10351e-05;11.3903;6.03734;
2.11351e-05;11.3916;6.04476;
2.12351e-05;11.3904;6.05217;
2.13351e-05;11.3918;6.05957;
2.14351e-05;11.3906;6.06696;
2.15351e-05;11.392;6.07434;
2.16351e-05;11.3908;6.08171;
2.17351e-05;11.3921;6.08907;
2.18351e-05;11.391;6.09642;
2.19351e-05;11.3923;6.10376;
2.20351e-05;11.3912;6.11109;
2.21351e-05;11.3925;6.11841;
2.22351e-05;11.3914;6.12571;
2.23351e-05;11.3927;6.13301;
2.24351e-05;11.3915;6.1403;
2.25351e-05;11.3929;6.14758;
2.26351e-05;11.3917;6.15485;
2.27351e-05;11.3931;6.16211;
2.28351e-05;11.3919;6.16936;
2.29351e-05;11.3932;6.1766;
2.30351e-05;11.3921;6.18383;
2.31351e-05;11.3934;6.19105;
2.32351e-05;11.3922;6.19826;
2.33351e-05;11.3936;6.20546;
2.34351e-05;11.3924;6.21265;
2.35351e-05;11.3938;6.21983;
2.36351e-05;11.3926;6.227;
2.37351e-05;11.394;6.23416;
2.38351e-05;11.3928;6.24131;
2.39351e-05;11.3941;6.24845;
2.40351e-05;11.393;6.25558;
2.41351e-05;11.3943;6.2627;
2.42351e-05;11.3931;6.26981;
2.43351e-05;11.3945;6.27691;
2.44351e-05;11.3933;6.28401;
2.45351e-05;11.3947;6.29109;
2.46351e-05;11.3935;6.29816;
2.47351e-05;11.3949;6.30522;
2.48351e-05;11.3937;6.31228;
2.49351e-05;11.395;6.31932;
2.50351e-05;11.3938;6.32635;
2.51351e-05;11.3952;6.33338;
2.52351e-05;11.394;6.34039;
2.53351e-05;11.3954;6.3474;
2.54351e-05;11.3942;6.35439;
2.55351e-05;11.3956;6.36138;
2.56351e-05;11.3944;6.36836;
2.57351e-05;11.3957;6.37532;
2.58351e-05;11.3946;6.38228;
2.59351e-05;11.3959;6.38923;
2.60351e-05;11.3947;6.39617;
2.61351e-05;11.3961;6.4031;
2.62351e-05;11.3949;6.41002;
2.63351e-05;11.3963;6.41693;
2.64351e-05;11.3951;6.42383;
2.65351e-05;11.3965;6.43072;
2.66351e-05;11.3953;6.4376;
2.67351e-05;11.3966;6.44447;
2.68351e-05;11.3954;6.45133;
2.69351e-05;11.3968;6.45819;
2.70351e-05;11.3956;6.46503;
2.71351e-05;11.397;6.47187;
2.72351e-05;11.3958;6.47869;
2.73351e-05;11.3972;6.48551;
2.74351e-05;11.3959;6.49231;
2.75351e-05;11.3973;6.49911;
2.76351e-05;11.3961;6.5059;
2.77351e-05;11.3975;6.51268;
2.78351e-05;11.3963;6.51945;
2.79351e-05;11.3977;6.52621;
2.80351e-05;11.3965;6.53296;
2.81351e-05;11.3979;6.5397;
2.82351e-05;11.3966;6.54643;
2.83351e-05;11.398;6.55316;
2.84351e-05;11.3968;6.55987;
2.85351e-05;11.3982;6.56657;
2.86351e-05;11.397;6.57327;
2.87351e-05;11.3984;6.57996;
2.88351e-05;11.3972;6.58663;
2.89351e-05;11.3986;6.5933;
2.90351e-05;11.3973;6.59996;
2.91351e-05;11.3987;6.60661;
2.92351e-05;11.3975;6.61325;
2.93351e-05;11.3989;6.61988;
2.94351e-05;11.3977;6.62651;
2.95351e-05;11.3991;6.63312;
2.96351e-05;11.3978;6.63973;
2.97351e-05;11.3992;6.64632;
2.98351e-05;11.398;6.65291;
2.99351e-05;11.3994;6.65948;
3.00351e-05;11.3982;6.66605;
3.01351e-05;11.3996;6.67261;
3.02351e-05;11.3984;6.67916;
3.03351e-05;11.3998;6.68571;
3.04351e-05;11.3985;6.69224;
3.05351e-05;11.3999;6.69876;
3.06351e-05;11.3987;6.70528;
3.07351e-05;11.4001;6.71178;
3.08351e-05;11.3989;6.71828;
3.09351e-05;11.4003;6.72477;
3.10351e-05;11.399;6.73125;
3.11351e-05;11.4004;6.73772;
3.12351e-05;11.3992;6.74418;
3.13351e-05;11.4006;6.75063;
3.14351e-05;11.3994;6.75708;
3.15351e-05;11.4008;6.76351;
3.16351e-05;11.3995;6.76994;
3.17351e-05;11.401;6.77636;
3.18351e-05;11.3997;6.78276;
3.19351e-05;11.4011;6.78916;
3.20351e-05;11.3999;6.79555;
3.21351e-05;11.4013;6.80194;
3.22351e-05;11.4;6.80831;
3.23351e-05;11.4015;6.81468;
3.24351e-05;11.4002;6.82103;
3.25351e-05;11.4016;6.82738;
3.26351e-05;11.4004;6.83372;
3.27351e-05;11.4018;6.84005;
3.28351e-05;11.4005;6.84637;
3.29351e-05;11.402;6.85268;
3.30351e-05;11.4007;6.85899;
3.31351e-05;11.4021;6.86528;
3.32351e-05;11.4009;6.87157;
3.33351e-05;11.4023;6.87785;
3.34351e-05;11.401;6.88412;
3.35351e-05;11.4025;6.89038;
3.36351e-05;11.4012;6.89663;
3.37351e-05;11.4026;6.90288;
3.38351e-05;11.4014;6.90911;
3.39351e-05;11.4028;6.91534;
3.40351e-05;11.4015;6.92156;
3.41351e-05;11.403;6.92777;
3.42351e-05;11.4017;6.93397;
3.43351e-05;11.4032;6.94016;
3.44351e-05;11.4019;6.94635;
3.45351e-05;11.4033;6.95253;
3.46351e-05;11.402;6.95869;
3.47351e-05;11.4035;6.96485;
3.48351e-05;11.4022;6.971;
3.49351e-05;11.4037;6.97715;
3.50351e-05;11.4024;6.98328;
3.51351e-05;11.4038;6.98941;
3.52351e-05;11.4025;6.99552;
3.53351e-05;11.404;7.00163;
3.54351e-05;11.4027;7.00773;
3.55351e-05;11.4042;7.01383;
3.56351e-05;11.4028;7.01991;
3.57351e-05;11.4043;7.02599;
3.58351e-05;11.403;7.03205;
3.59351e-05;11.4045;7.03811;
3.60351e-05;11.4032;7.04416;
3.61351e-05;11.4046;7.05021;
3.62351e-05;11.4033;7.05624;
3.63351e-05;11.4048;7.06227;
3.64351e-05;11.4035;7.06828;
3.65351e-05;11.405;7.07429;
